Genes	Preferred_name	Description
Tco_016662		Component of the exocyst complex involved in the docking of exocytic vesicles with fusion sites on the plasma membrane
Tco_016669	MCPH1	microcephalin
Tco_016669		BRCA1 C Terminus (BRCT) domain
Tco_016669	MCPH1	cerebral cortex development
Tco_016669	MCPH1	Microcephalin protein
Tco_016672		Aspartic-type endopeptidase activity
Tco_016673	VPS8	vacuolar protein sorting-associated protein 8 homolog
Tco_016675	VPS8	vacuolar protein sorting-associated protein 8 homolog
Tco_016677	PDCD11	Protein RRP5 homolog
Tco_016680		Mitochondria-eating protein
Tco_016681		Mitochondria-eating protein
Tco_016688		DDE superfamily endonuclease
Tco_016690		Reverse transcriptase (RNA-dependent DNA polymerase)
Tco_016691		Alcohol dehydrogenase transcription factor Myb/SANT-like
Tco_016697		Protein tyrosine kinase
Tco_016700		Fibrinogen-related domains (FReDs)
Tco_016701	TES	zinc ion binding
Tco_016702	SLC2A8	carbohydrate:proton symporter activity
Tco_016704		Lactosylceramide 4-alpha-galactosyltransferase
Tco_016706		serine-type endopeptidase activity. It is involved in the biological process described with proteolysis
Tco_016708		serine-type endopeptidase activity. It is involved in the biological process described with proteolysis
Tco_016715		XK-related protein
Tco_016715	ced-8	XK, Kell blood group complex subunit-related family, member 6
Tco_016717		extracellular matrix structural constituent
Tco_016718	PPO1	Oxidoreductase activity. It is involved in the biological process described with metabolic process
Tco_016720	PPO1	Oxidoreductase activity. It is involved in the biological process described with metabolic process
Tco_016721	PPO1	Oxidoreductase activity. It is involved in the biological process described with metabolic process
Tco_016722	PPO1	Oxidoreductase activity. It is involved in the biological process described with metabolic process
Tco_016733		DDE superfamily endonuclease
Tco_016737		Alcohol dehydrogenase transcription factor Myb/SANT-like
Tco_016739		K02A2.6-like
Tco_016740		transferase activity, transferring hexosyl groups. It is involved in the biological process described with metabolic process
Tco_016741		transferase activity, transferring hexosyl groups. It is involved in the biological process described with metabolic process
Tco_016745		Hyaluronidase
Tco_016745		Hyaluronoglucosaminidase
Tco_016745		positive regulation of hyaluranon cable assembly
Tco_016745	HYAL1	Hyaluronoglucosaminidase 1
Tco_016746	KCNIP4	channel interacting protein 4
Tco_016748		Ankyrin repeat, SAM and basic leucine zipper domain-containing protein 1-like
Tco_016768		G-protein coupled receptor activity. It is involved in the biological process described with G-protein coupled receptor signaling pathway
Tco_016770		G-protein coupled receptor activity. It is involved in the biological process described with G-protein coupled receptor signaling pathway
Tco_016776		Receptor family ligand binding region
Tco_016780		Alcohol dehydrogenase transcription factor Myb/SANT-like
Tco_016784		metabotropic glutamate
Tco_016786		metabotropic glutamate
Tco_016788	PLSCR1	phospholipid scramblase activity
Tco_016792		transposition, RNA-mediated
Tco_016797		Src homology 3 domains
Tco_016798		It is involved in the biological process described with regulation of transcription, DNA-templated
Tco_016800		It is involved in the biological process described with regulation of transcription, DNA-templated
Tco_016801		DDE superfamily endonuclease
Tco_016804		Myb/SANT-like DNA-binding domain
Tco_016806	NEK4	regulation of replicative cell aging
Tco_016824		Alcohol dehydrogenase transcription factor Myb/SANT-like
Tco_016827		positive regulation of endothelial cell chemotaxis
Tco_016836	PlexB	Plexin cytoplasmic RasGAP domain
Tco_016841		Jerky protein homolog-like
Tco_016842		Jerky protein homolog-like
Tco_016852	Ssadh	Succinate-semialdehyde dehydrogenase NAD(P) activity. It is involved in the biological process described with
Tco_016853		Jerky protein homolog-like
Tco_016854		Jerky protein homolog-like
Tco_016862	Arf102F	Belongs to the small GTPase superfamily. Arf family
Tco_016863		Prolyl oligopeptidase family
Tco_016870	GPRDIH1	7 transmembrane receptor (Secretin family)
Tco_016871	GPRDIH1	7 transmembrane receptor (Secretin family)
Tco_016873	Rbsn-5	Metal ion binding
Tco_016874	mRpS25	28S ribosomal protein S25
Tco_016875		Armadillo-like
Tco_016880		Encoded by
Tco_016882		Encoded by
Tco_016885		Ubiquitin-like domain
Tco_016886	PUS7	Pseudouridylate synthase 7
Tco_016889	SRPK2	spliceosomal complex assembly
Tco_016890		Component of the MICOS complex, a large protein complex of the mitochondrial inner membrane that plays crucial roles in the maintenance of crista junctions, inner membrane architecture, and formation of contact sites to the outer membrane
Tco_016891		rRNA primary transcript binding
Tco_016892	RPP14	ribonuclease P
Tco_016893		MADF
Tco_016894	muskelin	Muskelin N-terminus
Tco_016895		STIMATE family
Tco_016898		Belongs to the nucleosome assembly protein (NAP) family
Tco_016899		round spermatid basic protein
Tco_016903	GM2A	GM2 ganglioside activator
Tco_016904		Nuclear protein MDM1
Tco_016918		Immunoglobulin V-set domain
Tco_016920	CPT2	carnitine O-palmitoyltransferase activity
Tco_016922		pre-mRNA-splicing factor ISY1
Tco_016924		transmembrane receptor protein tyrosine kinase activity
Tco_016928	Arpc4	ARP2/3 complex 20 kDa subunit (ARPC4)
Tco_016933	DCLRE1B	telomeric loop formation
Tco_016934		kinase activity. It is involved in the biological process described with
Tco_016936		PhoX homologous domain, present in p47phox and p40phox.
Tco_016937		It is involved in the biological process described with intracellular protein transport
Tco_016938		transferase activity, transferring hexosyl groups. It is involved in the biological process described with metabolic process
Tco_016942	IQCA1	IQ and AAA domain-containing protein 1
Tco_016943	MED15	RNA polymerase II transcription cofactor activity. It is involved in the biological process described with regulation of transcription from RNA polymerase II promoter
Tco_016945		It is involved in the biological process described with regulation of mitotic metaphase anaphase transition
Tco_016946		Cotranslationally removes the N-terminal methionine from nascent proteins. The N-terminal methionine is often cleaved when the second residue in the primary sequence is small and uncharged (Met-Ala-, Cys, Gly, Pro, Ser, Thr, or Val)
Tco_016947		viral RNA genome replication
Tco_016949		regulation of modification of synaptic structure
Tco_016951	Shal	Voltage-gated potassium channel activity. It is involved in the biological process described with
Tco_016954	Shal	Voltage-gated potassium channel activity. It is involved in the biological process described with
Tco_016960		DDE superfamily endonuclease
Tco_016961	Csat	activity. It is involved in the biological process described with carbohydrate transport
Tco_016976		activity. It is involved in the biological process described with metabolic process
Tco_016977		Alpha-N-acetylglucosaminidase (NAGLU) tim-barrel domain
Tco_016980		Alcohol dehydrogenase transcription factor Myb/SANT-like
Tco_016982		Belongs to the mitochondrial carrier (TC 2.A.29) family
Tco_016983	SLC25A20	carnitine:acyl carnitine antiporter activity
Tco_016984		Belongs to the mitochondrial carrier (TC 2.A.29) family
Tco_016985		activity. It is involved in the biological process described with oxidation-reduction process
Tco_016986		Haloacid dehalogenase-like hydrolase
Tco_016987		CHCH domain
Tco_016990		G-protein coupled receptor activity. It is involved in the biological process described with G-protein coupled receptor signaling pathway
Tco_016991		13-prostaglandin reductase activity
Tco_016993		13-prostaglandin reductase activity
Tco_016994		Copper/zinc superoxide dismutase (SODC)
Tco_016998		Sodium:neurotransmitter symporter family
Tco_016999		Belongs to the sodium neurotransmitter symporter (SNF) (TC 2.A.22) family
Tco_017001		Sodium:neurotransmitter symporter family
Tco_017002	Ppt1	Palmitoyl-protein thioesterase
Tco_017005	ASXL2	positive regulation of peroxisome proliferator activated receptor signaling pathway
Tco_017006	26-29-p	Belongs to the peptidase C1 family
Tco_017014		ATP-dependent RNA helicase
Tco_017015	SLC2A12	carbohydrate:proton symporter activity
Tco_017016	PDCD11	Programmed cell death 11
Tco_017020		DNA- binding
Tco_017021	Neb-cGP	ATP synthase regulation
Tco_017022	FGFRL1	Fibroblast growth factor receptor-like
Tco_017025	FGFRL1	Fibroblast growth factor receptor-like
Tco_017028		A Receptor for Ubiquitination Targets
Tco_017032		Ribonuclease H protein
Tco_017033		Protein of unknown function (DUF1298)
Tco_017034		Conserved hypothetical protein
Tco_017035		Conserved hypothetical protein
Tco_017037		Homeodomain-like domain
Tco_017038		Protein of unknown function (DUF1298)
Tco_017041		Conserved hypothetical protein
Tco_017042		Conserved hypothetical protein
Tco_017043		Protein of unknown function (DUF1298)
Tco_017045		Protein of unknown function (DUF1298)
Tco_017046		Wax ester synthase-like Acyl-CoA acyltransferase domain
Tco_017049		Aspartate aminotransferase
Tco_017051		Protein of unknown function (DUF1298)
Tco_017052		Wax ester synthase-like Acyl-CoA acyltransferase domain
Tco_017053		Protein of unknown function (DUF1298)
Tco_017054		Wax ester synthase-like Acyl-CoA acyltransferase domain
Tco_017055		Wax ester synthase-like Acyl-CoA acyltransferase domain
Tco_017056		COG1020 Non-ribosomal peptide synthetase modules and related proteins
Tco_017057		Wax ester synthase-like Acyl-CoA acyltransferase domain
Tco_017058	SNRPG	spliceosomal snRNP assembly
Tco_017059		A domain family that is part of the cupin metalloenzyme superfamily.
Tco_017063		A domain family that is part of the cupin metalloenzyme superfamily.
Tco_017068		histone demethylase activity (H3-K9 specific)
Tco_017069		TB2/DP1, HVA22 family
Tco_017070	POMK	protein-O-mannose kinase
Tco_017087	lap-2	Cytosol aminopeptidase family, catalytic domain
Tco_017098		helix loop helix domain
Tco_017101	Nop56	NOSIC (NUC001) domain
Tco_017102		7 transmembrane receptor (rhodopsin family)
Tco_017103		WD40 repeats
Tco_017107		WD40 repeats
Tco_017108		Uncharacterised conserved protein (DUF2371)
Tco_017109	mRpL13	Structural constituent of ribosome. It is involved in the biological process described with translation
Tco_017110	PARPBP	negative regulation of double-strand break repair via homologous recombination
Tco_017111	TIGD4	Tigger transposable
Tco_017112		diacylglycerol cholinephosphotransferase activity
Tco_017113		coiled-coil-helix-coiled-coil-helix domain containing 7
Tco_017115		PX domain
Tco_017116	atl	GTPase activity
Tco_017117	atl	GTPase activity
Tco_017118	ATL2	endoplasmic reticulum organization
Tco_017124	atl	GTPase activity
Tco_017126		Guanylate-binding protein, N-terminal domain
Tco_017127	atl	GTPase activity
Tco_017128	atl	GTPase activity
Tco_017129	atl	GTPase activity
Tco_017131	ATL1	endoplasmic reticulum tubular network membrane organization
Tco_017132	atl	GTPase activity
Tco_017134	atl	GTPase activity
Tco_017135	atl	GTPase activity
Tco_017136	IFT52	Intraflagellar transport protein 52
Tco_017137		Domain of unknown function (DUF814)
Tco_017138		RIM-binding protein of the cytomatrix active zone
Tco_017148		F-box LRR-repeat protein
Tco_017149	Wnt5	Ligand for members of the frizzled family of seven transmembrane receptors
Tco_017151	WNT7B	found in Wnt-1
Tco_017153		Spinocerebellar ataxia type 10 protein domain
Tco_017164		Cadherin-like and PC-esterase
Tco_017166		Ligand for members of the frizzled family of seven transmembrane receptors
Tco_017167	ncs-2	neuronal calcium sensor
Tco_017168	ncs-2	neuronal calcium sensor
Tco_017169	ncs1	EF-hand domain
Tco_017170		calcium ion binding
Tco_017171	ncs-2	neuronal calcium sensor
Tco_017172	CIB1	positive regulation of male germ cell proliferation
Tco_017173	ncs-2	neuronal calcium sensor
Tco_017174		Calcium ion binding
Tco_017175	ncs-2	neuronal calcium sensor
Tco_017176	ncs-2	neuronal calcium sensor
Tco_017181		Calcium ion binding
Tco_017182	Rae1	transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery
Tco_017183		XK-related protein
Tco_017184		It is involved in the biological process described with protein phosphorylation
Tco_017185		dipeptidyl-peptidase activity
